INDEX	KEYVALUE	LABEL	RED	GREEN	BLUE	ALPHA	HEMISPHERE	NETWORK	NETWORKKEY	NETWORKSORTEDORDER	GLASSERLABELNAME
133	133	Frontoparietal-45_L-Ctx	255	255	0	255	L	Frontoparietal	7	377	L_TE1p_ROI
134	134	Default-68_L-Ctx	255	0	0	255	L	Default	9	502	L_TE2a_ROI
135	135	Ventral-Multimodal-04_L-Ctx	255	157	0	255	L	Ventral-Multimodal	11	618	L_TF_ROI
136	136	Dorsal-Attention-20_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	287	L_TE2p_ROI
137	137	Dorsal-Attention-21_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	288	L_PHT_ROI
138	138	Visual2-45_L-Ctx	100	0	255	255	L	Visual2	2	64	L_PH_ROI
139	139	Language-22_L-Ctx	0	155	155	255	L	Language	6	340	L_TPOJ1_ROI
140	140	Posterior-Multimodal-06_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	577	L_TPOJ2_ROI
141	141	Posterior-Multimodal-07_L-Ctx	177	89	40	255	L	Posterior-Multimodal	10	578	L_TPOJ3_ROI
142	142	Visual1-06_L-Ctx	0	0	255	255	L	Visual1	1	3	L_DVT_ROI
143	143	Dorsal-Attention-22_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	289	L_PGp_ROI
144	144	Frontoparietal-46_L-Ctx	255	255	0	255	L	Frontoparietal	7	378	L_IP2_ROI
145	145	Frontoparietal-47_L-Ctx	255	255	0	255	L	Frontoparietal	7	379	L_IP1_ROI
146	146	Dorsal-Attention-23_L-Ctx	0	255	0	255	L	Dorsal-Attention	5	290	L_IP0_ROI
147	147	Cingulo-Opercular-50_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	224	L_PFop_ROI
148	148	Cingulo-Opercular-51_L-Ctx	153	0	153	255	L	Cingulo-Opercular	4	225	L_PF_ROI
149	149	Frontoparietal-48_L-Ctx	255	255	0	255	L	Frontoparietal	7	380	L_PFm_ROI
150	150	Default-69_L-Ctx	255	0	0	255	L	Default	9	503	L_PGi_ROI
151	151	Default-70_L-Ctx	255	0	0	255	L	Default	9	504	L_PGs_ROI
152	152	Visual2-46_L-Ctx	100	0	255	255	L	Visual2	2	65	L_V6A_ROI
